Time_Index,Amazonas_hydro_ror,Doce_hydro_ror,Grande_hydro_ror,Iguacu_hydro_ror,Jacui_capivari_hydro_ror,Jequitinhonha_hydro_ror,Paraiba_do_sul_hydro_ror,Parana_hydro_ror,Paranaiba_hydro_ror,Paranapanema_hydro_ror,Sao_francisco_hydro_ror,Tiete_hydro_ror,Tocantins_hydro_ror,Uruguai_hydro_ror
1,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
2,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
3,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
4,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
5,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
6,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
7,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
8,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
9,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
10,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
11,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
12,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
13,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
14,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
15,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
16,0.009738942,0.228438217,0.601444815,0.540755381,0.912800755,0.094075444,0.465560971,1,0.337973693,0.894441988,0.406587373,1,0.355695493,0.597179375
