Type,id,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,Region1Beijing_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region1Beijing,co2_storage_Beijing
CO2Injection,Region2Tianjin_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region2Tianjin,co2_storage_Beijing
CO2Injection,Region3Hebei_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region3Hebei,co2_storage_Beijing
CO2Injection,Region4Shanxi_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region4Shanxi,co2_storage_Ningxia
CO2Injection,Region5Innermongolia_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region5Innermongolia,co2_storage_InnerMongolia
CO2Injection,Region6Liaoning_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region6Liaoning,co2_storage_Liaoning
CO2Injection,Region7Jilin_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region7Jilin,co2_storage_Jilin
CO2Injection,Region8Heilongjiang_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region8Heilongjiang,co2_storage_Heilongjiang_3
CO2Injection,Region9Shanghai_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region9Shanghai,co2_storage_Shanghai_2
CO2Injection,Region10Jiangsu_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region10Jiangsu,co2_storage_Shanghai_2
CO2Injection,Region11Zhejiang_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region11Zhejiang,co2_storage_Shanghai_2
CO2Injection,Region12Anhui_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region12Anhui,co2_storage_Henan
CO2Injection,Region13Fujian_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region13Fujian,co2_storage_Fujian
CO2Injection,Region14Jiangxi_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region14Jiangxi,co2_storage_Hubei
CO2Injection,Region15Shandong_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region15Shandong,co2_storage_Tianjin
CO2Injection,Region16Henan_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region16Henan,co2_storage_Henan
CO2Injection,Region17Hubei_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region17Hubei,co2_storage_Hubei
CO2Injection,Region18Hunan_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region18Hunan,co2_storage_Hubei
CO2Injection,Region19Guangdong_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region19Guangdong,co2_storage_Guangdong
CO2Injection,Region20Guangxi_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region20Guangxi,co2_storage_Hainan
CO2Injection,Region21Hainan_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region21Hainan,co2_storage_Hainan
CO2Injection,Region22Chongqing_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region22Chongqing,co2_storage_Chongqing
CO2Injection,Region23Sichuan_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region23Sichuan,co2_storage_Chongqing
CO2Injection,Region24Guizhou_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region24Guizhou,co2_storage_Chongqing
CO2Injection,Region25Yunnan_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region25Yunnan,co2_storage_Chongqing
CO2Injection,Region26Tibet_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region26Tibet,co2_storage_Qinghai
CO2Injection,Region27Shaanxi_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region27Shaanxi,co2_storage_Henan_2
CO2Injection,Region28Gansu_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region28Gansu,co2_storage_Ningxia
CO2Injection,Region29Qinghai_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region29Qinghai,co2_storage_Ningxia
CO2Injection,Region30Ningxia_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region30Ningxia,co2_storage_Ningxia
CO2Injection,Region31Xinjiang_CO2_Injection,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,0,0,0,0.08,40,20,0,co2_transported_Region31Xinjiang,co2_storage_Xinjiang_2
