Time_Index,BR_RN_Wind_Offshore_Class1,BR_RS_Wind_Offshore_Class2,BR_RJ_Wind_Offshore_Class3
1,0.459683528,0.738995241,1
2,0.444488498,0.713208752,1
3,0.404396821,0.710937734,1
4,0.368736385,0.688214321,1
5,0.36281998,0.610490901,1
6,0.380348233,0.468899877,1
7,0.412935297,0.496753253,1
8,0.429769381,0.689336603,1
9,0.444432153,0.790418757,1
10,0.461568877,0.675044198,1
11,0.456088356,0.603946898,1
12,0.422992204,0.688523384,1
13,0.395772159,0.729320155,1
14,0.380341472,0.827690401,1
15,0.352190878,0.869638002,1
16,0.319667732,0.871737845,1
17,0.297527482,0.871876174,1
18,0.294402813,0.872021447,1
19,0.304311871,0.871131954,1
20,0.327656281,0.865835335,1
21,0.361404323,0.858254471,1
22,0.400726012,0.847151897,1
23,0.430624653,0.835172836,1
24,0.438729318,0.822760381,1
25,0.429776503,0.797048733,1
26,0.405620094,0.761309619,1
27,0.383369047,0.711497662,1
28,0.361566055,0.653636618,1
29,0.337800455,0.607798062,1
30,0.318629632,0.561751627,1
31,0.3118438,0.514985441,1
32,0.304055208,0.469013185,1
33,0.28282937,0.413287917,1
34,0.265618451,0.331342325,1
35,0.249480702,0.250539076,0.964483158
36,0.267251645,0.203113871,0.882397273
37,0.30696234,0.170623226,0.767895497
38,0.345081762,0.144390338,0.599044437
39,0.371405155,0.131281278,0.40771215
40,0.387886744,0.139415127,0.243633696
41,0.387097463,0.150411227,0.141429004
42,0.39772972,0.154229875,0.094289018
43,0.416889905,0.158037943,0.055729504
44,0.423853967,0.163947177,0.02220604
45,0.392906227,0.16289753,0.004706905
46,0.343486973,0.145135771,0.002226095
47,0.316809102,0.119225392,0.014383046
48,0.315756307,0.092218854,0.037887893
49,0.320797427,0.072513436,0.059555302
50,0.324552618,0.051136166,0.072655412
51,0.32418579,0.03277094,0.074958635
52,0.319672239,0.02003851,0.0531503
53,0.304834482,0.014563442,0.029203472
54,0.293486869,0.012973266,0.015089106
55,0.282804217,0.015449187,0.009534898
56,0.276017485,0.024564896,0.006814609
57,0.262833115,0.043179114,0.004898456
58,0.248007348,0.054733379,0.003416985
59,0.229834867,0.059429948,0.002008516
60,0.236130633,0.070433322,0.001748406
61,0.245038822,0.089660155,0.005007166
62,0.239739147,0.113322221,0.018322316
63,0.228037417,0.146629833,0.049668723
64,0.220124595,0.202923628,0.148407233
65,0.215789366,0.286198389,0.362909508
66,0.221818822,0.359467619,0.638310962
67,0.237925018,0.420798128,0.869290974
68,0.233426523,0.496751269,1
69,0.206077561,0.591846923,1
70,0.191745376,0.672979846,1
71,0.192360122,0.729512272,1
72,0.183164167,0.769220709,1
73,0.172846271,0.792540093,1
74,0.170620688,0.807045558,1
75,0.166656524,0.814090411,0.946492368
